batting_team,bowling_team,city,runs_y,result_first_innings
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
Otago,Central Districts,Napier,181,1
